Cat�gorie;Article;D�signation 1;Unit� stock;Unit� vente;Coef UV-US;Saisie coeff vente;Unit� achat;Coef UA-US;Conditionnement;Coef UC-US;Saisie coeff autoris;Code comptable;Niveau taxe;Famille statistique;Famille statistique;Famille statistique;Gestion stock;Fournisseur;Article fournisseur;D�signation fourn
PDR;PDR00035;COUPLEUR HP 1/4;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00065;907024;COUPLEUR HP 1/4
PDR;PDR00036;GOUJON FUWA 99;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00065;909090;GOUJON FUWA 99
PDR;PDR00037;ACCOUPLEMENT;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00143;1604076100;ACCOUPLEMENT
PDR;PDR00038;VALVE DE REGULARISATION;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00143;1615766480;VALVE REGUL
PDR;PDR00040;BUFFER;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00143;1202-9006-03;BUFFER
PDR;PDR00041;FILTRE HYDRAILIQUE XAS77;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00143;1613610590;FILTRE HYDRAILIQUE XAS77
PDR;PDR00042;VENTILATEUR;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00143;1615775401;VENTILATEUR
PDR;PDR00042;VENTILATEUR;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00360;VO24017079;VENTILATEUR
PDR;PDR00043;LEVEL GAUCHE;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00143;1665510800;LEVEL GAUCHE
PDR;PDR00044;KIT FILTRE;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00143;2901032500;KIT FILTRE
PDR;PDR00045;KIT HUILE SEPARATEUR GA11-22;UN;;0;1;UN;1;;0;0;CONS;AV001;;;;2;FRL00143;2901034301;
PDR;PDR00047;KIT SEPARATEUR HUILE;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00143;2911006801;KIT SEPARATEUR HUILE
PDR;PDR00048;JEU DE GARNITURE DE FREINS;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00041;PDR00048;JEU DE GARNITURE DE FREINS
PDR;PDR00049;ARRET D'HUILE 33147;UN;;0;1;UN;1;;0;0;PDR;AV001;PDR06;P0602;;2;FRL00053;33147;ARRET D'HUILE
PDR;PDR00050;ARRET D HUILE 139X170X11 MOYAU AR TGA;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00053;517.131;ARRET D HUILE 139X170X11 MOYAU AR TGA
PDR;PDR00051;DIAPHRAGME VENTOUZ DE FREIN 20T TGM;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00036;RK.020S;DIAPHRAGME VENTOUZ DE FREIN 20T TGM
PDR;PDR00052;DIAPHRAGME DIAM 20 DEEP ESY10067 TGM;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00036;OEM-EKER;DIAPHRAGME VENTOUZ DE FREIN 20T TGM
PDR;PDR00053;COUVERCLE;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00131;81.61942-0084;COUVERCLE
PDR;PDR00056;CARTER DE FILTRE;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00131;81.61910-0037;CARTER DE FILTRE
PDR;PDR00057;SELETTE COMPLET;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00088;SILCOM2;SELETTE COMPLET
PDR;PDR00058;SELETTE D ATTELAGE;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00088;9018;SELETTE D ATTELAGE
